make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,price,city-L/100km,highway-L/100km,fuel,country,continent
Honda,std,two,sedan,fwd,front,245.1,429.5,167.6,129.5,1040,ohc,four,1803,2bbl,8,9.09,9.1,100,5500,10345,9.4,7.58,petrol,Japan,Asia
Isuzu,std,four,sedan,rwd,front,239.5,433.6,157,135.9,1060,ohc,four,1819,2bbl,8.41,8.2,8.5,78,4800,6785,9.79,8.1,petrol,Japan,Asia
Isuzu,std,two,hatchback,rwd,front,243.8,438.4,165.6,130.6,1240,ohc,four,1950,spfi,8.71,8.2,9.2,90,5000,11048,9.79,8.1,petrol,Japan,Asia
Jaguar,std,four,sedan,rwd,front,287,507,176.8,134.1,1844,dohc,six,4228,mpfi,9.22,10.59,8.1,176,4750,32250,15.67,12.37,petrol,United Kingdom,Europe
Jaguar,std,four,sedan,rwd,front,287,507,176.8,134.1,1844,dohc,six,4228,mpfi,9.22,10.59,8.1,176,4750,35550,15.67,12.37,petrol,United Kingdom,Europe
Jaguar,std,two,sedan,rwd,front,259.1,486.9,179.3,121.4,1792,ohcv,twelve,5342,mpfi,8.99,7.01,11.5,262,5000,36000,18.08,13.82,petrol,United Kingdom,Europe
Mazda,std,two,hatchback,fwd,front,236.5,404.1,163.1,137.4,857,ohc,four,1491,2bbl,7.7,8,9,68,5000,5195,7.83,7.58,petrol,Japan,Asia
Mazda,std,two,hatchback,fwd,front,236.5,404.1,163.1,137.4,862,ohc,four,1491,2bbl,7.7,8,9,68,5000,6095,7.58,6.18,petrol,Japan,Asia
Mazda,std,two,hatchback,fwd,front,236.5,404.1,163.1,137.4,864,ohc,four,1491,2bbl,7.7,8,9,68,5000,6795,7.58,6.18,petrol,Japan,Asia
Mazda,std,four,sedan,fwd,front,236.5,423.7,163.1,137.4,882,ohc,four,1491,2bbl,7.7,8,9,68,5000,6695,7.58,6.18,petrol,Japan,Asia
Mazda,std,four,sedan,fwd,front,236.5,423.7,163.1,137.4,885,ohc,four,1491,2bbl,7.82,8,9,68,5000,7395,7.58,6.18,petrol,Japan,Asia
Mazda,std,two,hatchback,rwd,front,242.1,429.3,166.9,126,1080,rotor,two,1147,4bbl,,,9.4,101,6000,10945,13.82,10.22,petrol,Japan,Asia
Mazda,std,two,hatchback,rwd,front,242.1,429.3,166.9,126,1080,rotor,two,1147,4bbl,,,9.4,101,6000,11845,13.82,10.22,petrol,Japan,Asia
Mazda,std,two,hatchback,rwd,front,242.1,429.3,166.9,126,1082,rotor,two,1147,4bbl,,,9.4,101,6000,13645,13.82,10.22,petrol,Japan,Asia
Mazda,std,two,hatchback,rwd,front,242.1,429.3,166.9,126,1134,rotor,two,1311,mpfi,,,9.4,135,6000,15645,14.69,10.22,petrol,Japan,Asia
Mazda,std,two,hatchback,fwd,front,251,451.6,168.9,136.4,1082,ohc,four,1999,2bbl,8.61,8.61,8.6,84,4800,8845,9.04,7.34,petrol,Japan,Asia
Mazda,std,four,sedan,fwd,front,251,451.6,168.9,141,1093,ohc,four,1999,2bbl,8.61,8.61,8.6,84,4800,8495,9.04,7.34,petrol,Japan,Asia
Mazda,std,two,hatchback,fwd,front,251,451.6,168.9,136.4,1082,ohc,four,1999,2bbl,8.61,8.61,8.6,84,4800,10595,9.04,7.34,petrol,Japan,Asia
Mazda,std,four,sedan,fwd,front,251,451.6,168.9,141,1093,ohc,four,1999,2bbl,8.61,8.61,8.6,84,4800,10245,9.04,7.34,petrol,Japan,Asia
Mazda,std,,sedan,fwd,front,251,451.6,168.9,141,1108,ohc,four,1999,idi,8.61,8.61,22.7,64,4650,10795,6.53,5.6,diesel,Japan,Asia
Mazda,std,four,hatchback,fwd,front,251,451.6,168.9,141,1100,ohc,four,1999,2bbl,8.61,8.61,8.6,84,4800,11245,9.04,7.34,petrol,Japan,Asia
Mazda,std,four,sedan,rwd,front,266.4,444.5,167.9,138.2,1211,ohc,four,2294,mpfi,9.55,8.03,8,120,5000,18280,12.37,8.7,petrol,Japan,Asia
Mazda,std,four,sedan,rwd,front,266.4,444.5,167.9,138.2,1225,ohc,four,2196,idi,8.71,9.25,22,72,4200,18344,7.58,6.03,diesel,Japan,Asia
Mercedes-Benz,turbo,four,sedan,rwd,front,279.4,484.9,178.6,143.5,1594,ohc,five,2999,idi,9.09,9.25,21.5,123,4350,25552,10.68,9.4,diesel,Germany,Europe
Mercedes-Benz,turbo,four,wagon,rwd,front,279.4,484.9,178.6,149.1,1701,ohc,five,2999,idi,9.09,9.25,21.5,123,4350,28248,10.68,9.4,diesel,Germany,Europe
Mercedes-Benz,turbo,two,hardtop,rwd,front,271,476.2,178.6,139.4,1585,ohc,five,2999,idi,9.09,9.25,21.5,123,4350,28176,10.68,9.4,diesel,Germany,Europe
Mercedes-Benz,turbo,four,sedan,rwd,front,293.6,514.6,182.1,143,1710,ohc,five,2999,idi,9.09,9.25,21.5,123,4350,31600,10.68,9.4,diesel,Germany,Europe
Mercedes-Benz,std,four,sedan,rwd,front,293.6,514.6,182.1,143.5,1696,ohcv,eight,3835,mpfi,8.79,7.87,8.3,155,4750,34184,14.69,13.06,petrol,Germany,Europe
Mercedes-Benz,std,two,convertible,rwd,front,245.4,458,179.1,129,1671,ohcv,eight,3835,mpfi,8.79,7.87,8.3,155,4750,35056,14.69,13.06,petrol,Germany,Europe
Mercedes-Benz,std,four,sedan,rwd,front,307.1,528.6,182.1,144,1769,ohcv,eight,5047,mpfi,9.65,8.51,8,184,4500,40960,16.79,14.69,petrol,Germany,Europe
Mercedes-Benz,std,two,hardtop,rwd,front,284.5,506,182.9,140.7,1685,ohcv,eight,4982,mpfi,9.65,8.51,8,184,4500,45400,16.79,14.69,petrol,Germany,Europe
Mercury,turbo,two,hatchback,rwd,front,260.9,453.1,172.7,139.2,1320,ohc,four,2294,mpfi,9.6,7.92,8,175,5000,16503,12.37,9.79,petrol,United States of America,North America
Mitsubishi,std,two,hatchback,fwd,front,238,399.5,163.6,129,870,ohc,four,1508,2bbl,7.54,8.2,9.4,68,5500,5389,6.35,5.73,petrol,Japan,Asia
Mitsubishi,std,two,hatchback,fwd,front,238,399.5,163.6,129,882,ohc,four,1508,2bbl,7.54,8.2,9.4,68,5500,6189,7.58,6.18,petrol,Japan,Asia
Mitsubishi,std,two,hatchback,fwd,front,238,399.5,163.6,129,909,ohc,four,1508,2bbl,7.54,8.2,9.4,68,5500,6669,7.58,6.18,petrol,Japan,Asia
Mitsubishi,turbo,two,hatchback,fwd,front,236.2,399.5,162.1,129,973,ohc,four,1606,spdi,7.7,8.61,7.6,102,5500,7689,9.79,7.83,petrol,Japan,Asia
Mitsubishi,turbo,two,hatchback,fwd,front,244.6,439.4,166.1,125.5,1075,ohc,four,1803,spdi,8.05,8.79,7.5,116,5500,9959,10.22,7.83,petrol,Japan,Asia
Mitsubishi,std,two,hatchback,fwd,front,244.6,439.4,166.1,125.5,1056,ohc,four,1999,2bbl,8.51,8.79,8.5,88,5000,8499,9.4,7.34,petrol,Japan,Asia
Mitsubishi,turbo,two,hatchback,fwd,front,243.6,439.9,168.4,127.5,1285,ohc,four,2556,spdi,9.09,9.8,7,145,5000,12629,12.37,9.79,petrol,Japan,Asia
Mitsubishi,turbo,two,hatchback,fwd,front,243.6,439.9,168.4,127.5,1325,ohc,four,2556,spdi,9.12,9.8,7,145,5000,14869,12.37,9.79,petrol,Japan,Asia
Mitsubishi,turbo,two,hatchback,fwd,front,243.6,439.9,168.4,127.5,1327,ohc,four,2556,spdi,9.12,9.8,7,145,5000,14489,12.37,9.79,petrol,Japan,Asia
Mitsubishi,std,four,sedan,fwd,front,244.6,437.9,166.1,131.1,1073,ohc,four,1999,2bbl,8.51,8.79,8.5,88,5000,6989,9.4,7.34,petrol,Japan,Asia
Mitsubishi,std,four,sedan,fwd,front,244.6,437.9,166.1,131.1,1091,ohc,four,1999,2bbl,8.51,8.79,8.5,88,5000,8189,9.4,7.34,petrol,Japan,Asia
Mitsubishi,turbo,four,sedan,fwd,front,244.6,437.9,166.1,131.1,1090,ohc,four,1803,spdi,8.05,8.79,7.5,116,5500,9279,10.22,7.83,petrol,Japan,Asia
Mitsubishi,std,four,sedan,fwd,front,244.6,437.9,166.1,131.1,1090,ohc,four,1803,spdi,8.05,8.79,7.5,116,5500,9279,10.22,7.83,petrol,Japan,Asia
Nissan,std,two,sedan,fwd,front,240,419.9,162.1,138.4,857,ohc,four,1590,2bbl,8,8.36,9.4,69,5200,5499,7.58,6.35,petrol,Japan,Asia
Nissan,std,two,sedan,fwd,front,240,419.9,162.1,138.4,915,ohc,four,1688,idi,7.59,8.81,21.9,55,4800,7099,5.22,4.7,diesel,Japan,Asia
Nissan,std,two,sedan,fwd,front,240,419.9,162.1,138.4,870,ohc,four,1590,2bbl,8,8.36,9.4,69,5200,6649,7.58,6.35,petrol,Japan,Asia
Nissan,std,four,sedan,fwd,front,240,419.9,162.1,138.4,879,ohc,four,1590,2bbl,8,8.36,9.4,69,5200,6849,7.58,6.35,petrol,Japan,Asia
Nissan,std,four,wagon,fwd,front,240,432.3,162.1,135.9,918,ohc,four,1590,2bbl,8,8.36,9.4,69,5200,7349,7.58,6.35,petrol,Japan,Asia
Nissan,std,two,sedan,fwd,front,240,419.9,162.1,138.4,885,ohc,four,1590,2bbl,8,8.36,9.4,69,5200,7299,7.58,6.35,petrol,Japan,Asia
Nissan,std,two,hatchback,fwd,front,240,420.6,162.1,135.4,920,ohc,four,1590,2bbl,8,8.36,9.4,69,5200,7799,7.58,6.35,petrol,Japan,Asia
Nissan,std,four,sedan,fwd,front,240,419.9,162.1,138.4,894,ohc,four,1590,2bbl,8,8.36,9.4,69,5200,7499,7.58,6.35,petrol,Japan,Asia
Nissan,std,four,wagon,fwd,front,240,432.3,162.1,135.9,924,ohc,four,1590,2bbl,8,8.36,9.4,69,5200,7999,7.58,6.35,petrol,Japan,Asia
Nissan,std,two,hardtop,fwd,front,241.6,412.5,162.1,135.4,911,ohc,four,1590,2bbl,8,8.36,9.4,69,5200,8249,7.58,6.35,petrol,Japan,Asia
Nissan,std,four,hatchback,fwd,front,246.9,440.4,165.6,138.9,1054,ohc,four,1966,2bbl,8.46,8.81,8.5,97,5200,8949,8.7,6.91,petrol,Japan,Asia
Nissan,std,four,sedan,fwd,front,246.9,440.4,165.6,138.9,1044,ohc,four,1966,2bbl,8.46,8.81,8.5,97,5200,9549,8.7,6.91,petrol,Japan,Asia
Nissan,std,four,sedan,fwd,front,255,461.5,168.9,140,1404,ohcv,six,2966,mpfi,8.71,8.31,9,152,5200,13499,13.82,10.68,petrol,Japan,Asia
Nissan,std,four,wagon,fwd,front,255,468.9,168.9,142.5,1495,ohcv,six,2966,mpfi,8.71,8.31,9,152,5200,14399,13.82,10.68,petrol,Japan,Asia
Nissan,std,four,sedan,fwd,front,255,468.9,168.9,140,1388,ohcv,six,2966,mpfi,8.71,8.31,9,152,5200,13499,12.37,9.4,petrol,Japan,Asia
Nissan,std,two,hatchback,rwd,front,231.9,433.6,172.5,126.2,1393,ohcv,six,2966,mpfi,8.71,8.31,9,160,5200,17199,12.37,9.4,petrol,Japan,Asia
Nissan,turbo,two,hatchback,rwd,front,231.9,433.6,172.5,126.2,1424,ohcv,six,2966,mpfi,8.71,8.31,7.8,200,5200,19699,13.82,10.22,petrol,Japan,Asia
Nissan,std,two,hatchback,rwd,front,252,453.4,172.5,126.2,1424,ohcv,six,2966,mpfi,8.71,8.31,9,160,5200,18399,12.37,9.4,petrol,Japan,Asia
Peugeot,std,four,sedan,rwd,front,274.1,474.2,173.7,144,1370,l,four,1966,mpfi,8.79,8.1,8.4,97,5000,11900,12.37,9.79,petrol,France,Europe
Peugeot,turbo,four,sedan,rwd,front,274.1,474.2,173.7,144,1450,l,four,2491,idi,9.4,8.94,21,95,4150,13200,8.39,7.12,diesel,France,Europe
Peugeot,std,four,wagon,rwd,front,290.1,505.2,173.7,149.1,1465,l,four,1966,mpfi,8.79,8.1,8.4,97,5000,12440,12.37,9.79,petrol,France,Europe
Peugeot,turbo,four,wagon,rwd,front,290.1,505.2,173.7,149.1,1556,l,four,2491,idi,9.4,8.94,21,95,4150,13860,9.4,9.4,diesel,France,Europe
Peugeot,std,four,sedan,rwd,front,274.1,474.2,173.7,144,1395,l,four,1966,mpfi,8.79,5.56,8.4,95,5000,15580,12.37,9.79,petrol,France,Europe
Peugeot,turbo,four,sedan,rwd,front,274.1,474.2,173.7,144,1475,l,four,2491,idi,9.4,8.94,21,95,4150,16900,8.39,7.12,diesel,France,Europe
Peugeot,std,four,wagon,rwd,front,290.1,505.2,173.7,144,1490,l,four,1966,mpfi,8.79,5.56,8.4,95,5000,16695,12.37,9.79,petrol,France,Europe
Peugeot,turbo,four,wagon,rwd,front,290.1,505.2,173.7,149.1,1581,l,four,2491,idi,9.4,8.94,21,95,4150,17075,9.4,9.4,diesel,France,Europe
Peugeot,std,four,sedan,rwd,front,274.1,474.2,173.7,144,1395,l,four,1966,mpfi,8.79,8.1,8.4,97,5000,16630,12.37,9.79,petrol,France,Europe
Peugeot,turbo,four,sedan,rwd,front,274.1,474.2,173.7,144,1475,l,four,2491,idi,9.4,8.94,21,95,4150,17950,8.39,7.12,diesel,France,Europe
Peugeot,turbo,four,sedan,rwd,front,274.3,474.2,173.5,142.2,1420,l,four,2196,mpfi,9.17,8.15,7,142,5600,18150,13.06,9.79,petrol,France,Europe
Plymouth,std,two,hatchback,fwd,front,238,399.5,162.1,129,870,ohc,four,1475,2bbl,7.54,8.2,9.4,68,5500,5572,6.35,5.73,petrol,United States of America,North America
Plymouth,turbo,two,hatchback,fwd,front,238,399.5,162.1,129,965,ohc,four,1606,spdi,7.7,8.61,7.6,102,5500,7957,9.79,7.83,petrol,United States of America,North America
Plymouth,std,four,hatchback,fwd,front,238,399.5,162.1,128.5,892,ohc,four,1475,2bbl,7.54,8.2,9.4,68,5500,6229,7.58,6.18,petrol,United States of America,North America
Plymouth,std,four,sedan,fwd,front,238,424.9,162.1,129,902,ohc,four,1475,2bbl,7.54,8.2,9.4,68,5500,6692,7.58,6.18,petrol,United States of America,North America
Plymouth,std,four,sedan,fwd,front,238,424.9,162.1,129,994,ohc,four,1606,2bbl,7.54,8.2,9.4,68,5500,7609,7.58,6.18,petrol,United States of America,North America
Plymouth,std,four,wagon,fwd,front,262.4,443.5,164.1,151.9,1150,ohc,four,1999,2bbl,8.51,8.79,8.5,88,5000,8921,9.79,7.83,petrol,United States of America,North America
Plymouth,turbo,two,hatchback,rwd,front,243.6,439.9,168.4,127.5,1278,ohc,four,2556,spdi,9.12,9.8,7,145,5000,12764,12.37,9.79,petrol,United States of America,North America
Porsche,std,two,hatchback,rwd,front,240,429,173.5,127.5,1260,ohc,four,2474,mpfi,10.01,7.9,9.5,143,5500,22018,12.37,8.7,petrol,Germany,Europe
Porsche,std,two,hardtop,rwd,rear,227.3,429,165.1,131.1,1250,ohcf,six,3179,mpfi,9.5,7.37,9.5,207,5900,32528,13.82,9.4,petrol,Germany,Europe
Porsche,std,two,hardtop,rwd,rear,227.3,429,165.1,131.1,1250,ohcf,six,3179,mpfi,9.5,7.37,9.5,207,5900,34028,13.82,9.4,petrol,Germany,Europe
Porsche,std,two,convertible,rwd,rear,227.3,429,165.1,131.1,1270,ohcf,six,3179,mpfi,9.5,7.37,9.5,207,5900,37028,13.82,9.4,petrol,Germany,Europe
Renault,std,four,wagon,fwd,front,244.1,461,168.9,140.2,1170,ohc,four,2163,mpfi,8.79,9.91,8.7,,,9295,10.22,7.58,petrol,France,Europe
Renault,std,two,hatchback,fwd,front,244.1,449.1,169.2,128.3,1116,ohc,four,2163,mpfi,8.79,9.91,8.7,,,9895,10.22,7.58,petrol,France,Europe
Saab,std,two,hatchback,fwd,front,251.7,474,168.9,142.5,1206,ohc,four,1983,mpfi,8.99,7.8,9.31,110,5250,11850,11.19,8.39,petrol,Sweden,Europe
Saab,std,four,sedan,fwd,front,251.7,474,168.9,142.5,1222,ohc,four,1983,mpfi,8.99,7.8,9.3,110,5250,12170,11.19,8.39,petrol,Sweden,Europe
Saab,std,two,hatchback,fwd,front,251.7,474,168.9,142.5,1228,ohc,four,1983,mpfi,6.45,5.26,9.3,110,5250,15040,11.19,8.39,petrol,Sweden,Europe
Saab,std,four,sedan,fwd,front,251.7,474,168.9,142.5,1251,ohc,four,1983,mpfi,8.99,7.8,9.3,110,5250,15510,11.19,8.39,petrol,Sweden,Europe
Saab,turbo,two,hatchback,fwd,front,251.7,474,168.9,142.5,1274,dohc,four,1983,mpfi,8.99,7.8,9,160,5500,18150,12.37,9.04,petrol,Sweden,Europe
Saab,turbo,four,sedan,fwd,front,251.7,474,168.9,142.5,1291,dohc,four,1983,mpfi,8.99,7.8,9,160,5500,18620,12.37,9.04,petrol,Sweden,Europe
Subaru,std,two,hatchback,fwd,front,238,398.5,161,136.4,930,ohcf,four,1590,2bbl,9.19,5.99,9,69,4900,5118,7.58,6.53,petrol,Japan,Asia
Subaru,std,two,hatchback,fwd,front,238,401.1,161.5,136.4,962,ohcf,four,1770,2bbl,9.19,6.71,8.7,73,4400,7053,9.04,7.58,petrol,Japan,Asia
Subaru,std,two,hatchback,4wd,front,237,399.5,162.1,141.5,1016,ohcf,four,1770,2bbl,9.19,6.71,8.7,73,4400,7603,9.04,7.58,petrol,Japan,Asia
Subaru,std,four,sedan,fwd,front,246.9,436.9,166.1,133.4,973,ohcf,four,1770,2bbl,9.19,6.71,9.5,82,4800,7126,7.34,6.35,petrol,Japan,Asia
Subaru,std,four,sedan,fwd,front,246.9,436.9,166.1,133.4,993,ohcf,four,1770,2bbl,9.19,6.71,9.5,82,4400,7775,8.39,7.12,petrol,Japan,Asia
Subaru,std,four,sedan,fwd,front,246.9,436.9,166.1,133.4,1061,ohcf,four,1770,mpfi,9.19,6.71,9,94,5200,9960,9.04,7.34,petrol,Japan,Asia
Subaru,std,four,sedan,4wd,front,246.4,436.9,166.1,137.9,1082,ohcf,four,1770,2bbl,9.19,6.71,9,82,4800,9233,9.79,9.4,petrol,Japan,Asia
Subaru,turbo,four,sedan,4wd,front,246.4,436.9,166.1,137.9,1139,ohcf,four,1770,mpfi,9.19,6.71,7.7,111,4800,11259,9.79,8.1,petrol,Japan,Asia
Subaru,std,four,wagon,fwd,front,246.4,440.7,166.1,134.6,1039,ohcf,four,1770,2bbl,9.19,6.71,9,82,4800,7463,8.39,7.34,petrol,Japan,Asia
Subaru,std,four,wagon,fwd,front,246.4,440.7,166.1,134.6,1114,ohcf,four,1770,mpfi,9.19,6.71,9,94,5200,10198,9.4,7.58,petrol,Japan,Asia
Subaru,std,four,wagon,4wd,front,246.1,440.9,166.1,139.4,1098,ohcf,four,1770,2bbl,9.19,6.71,9,82,4800,8013,10.22,8.1,petrol,Japan,Asia
Subaru,turbo,four,wagon,4wd,front,246.1,440.9,166.1,139.4,1202,ohcf,four,1770,mpfi,9.19,6.71,7.7,111,4800,11694,10.22,10.22,petrol,Japan,Asia
Toyota,std,two,hatchback,fwd,front,243.1,403.1,161.5,138.4,900,ohc,four,1508,2bbl,7.75,7.7,9,62,4800,5348,6.71,6.03,petrol,Japan,Asia
Toyota,std,two,hatchback,fwd,front,243.1,403.1,161.5,138.4,925,ohc,four,1508,2bbl,7.75,7.7,9,62,4800,6338,7.58,6.18,petrol,Japan,Asia
Toyota,std,four,hatchback,fwd,front,243.1,403.1,161.5,138.4,914,ohc,four,1508,2bbl,7.75,7.7,9,62,4800,6488,7.58,6.18,petrol,Japan,Asia
Toyota,std,four,wagon,fwd,front,243.1,431,161.5,150.1,1034,ohc,four,1508,2bbl,7.75,7.7,9,62,4800,6918,7.58,6.35,petrol,Japan,Asia
Toyota,std,four,wagon,4wd,front,243.1,431,161.5,150.1,1039,ohc,four,1508,2bbl,7.75,7.7,9,62,4800,7898,8.7,7.34,petrol,Japan,Asia
Toyota,std,four,wagon,4wd,front,243.1,431,161.5,150.1,1411,ohc,four,1508,2bbl,7.75,7.7,9,62,4800,8778,8.7,7.34,petrol,Japan,Asia
